Time,Pressure_Sensor1,Pressure_Sensor2,Light_Sensor1,Light_Sensor2
0,-0.012972471492107486,-0.012972471492107486,0,0
0.00000009141379262169074,-0.025963981729833063,-0.025963845459124807,0,0
0.00000018282758524338148,-0.0386312813590411,-0.038630977586584875,0,0
0.0000002742413778650722,-0.05066951622050381,-0.050669003976408375,0,0
0.00000036565517048676295,-0.061865157248548186,-0.061864387869639416,0,0
0.0000004570689631084537,-0.07211072275551708,-0.07210964189652115,0,0
0.0000005484827557301445,-0.08138826867696479,-0.08138681800405931,0,0
0.0000006398965483518351,-0.08974003211017928,-0.08973815060199787,0,0
0.0000007313103409735259,-0.09724071444639239,-0.09723833936274599,0,0
0.0000008227241335952167,-0.10397743587222441,-0.10397450348279019,0,0
0.0000009141379262169073,-0.1100375788560657,-0.11003402500336917,0,0
0.0000010055517188385981,-0.11550250352253463,-0.11549826406742399,0,0
0.000001096965511460289,-0.12044495391508316,-0.12043996509397724,0,0
0.0000011883793040819797,-0.1249285222000403,-0.12492272091243492,0,0
0.0000012797930967036702,-0.12900813421186216,-0.12900145825095657,0,0
0.000001371206889325361,-0.1327309621059806,-0.13272335034226773,0,0
0.0000014626206819470518,-0.13613745012815126,-0.13612884265395853,0,0
0.0000015540344745687426,-0.13926230176900625,-0.13925264001061696,0,0
0.0000016454482671904334,-0.14213536469997048,-0.14212459150285622,0,0
0.000001736862059812124,-0.14478239501514947,-0.1447704547069263,0,0
0.0000018282758524338147,-0.1472257037746421,-0.14721254220961685,0,0
0.0000019196896450555057,-0.14948469785002536,-0.14947026243860104,0,0
0.0000020111034376771963,-0.15157632980584795,-0.15156056953158603,0,0
0.000002102517230298887,-0.153515471325725,-0.1534983367524727,0,0
0.000002193931022920578,-0.15531522322545485,-0.15529666649659213,0,0
0.0000022853448155422684,-0.1569871732443845,-0.1569671480758931,0,0
0.0000023767586081639594,-0.15854161097179004,-0.15852007264048498,0,0
0.00000246817240078565,-0.15998770761577613,-0.1599646129436779,0,0
0.0000025595861934073405,-0.16133366691090434,-0.16130897424640672,0,0
0.0000026509999860290315,-0.1625868522860708,-0.16256052148231873,0,0
0.000002742413778650722,-0.1637538944520206,-0.16372588684278772,0,0
0.000002833827571272413,-0.16484078278716371,-0.16481106116052371,0,0
0.0000029252413638941036,-0.16585294327005373,-0.16582147184024437,0,0
